category,title,creator,publication_year,description
album,How do you know it’s not just a lizard?....Because his face opened up and he ate my cat!,Daecon,2010,"Chuck Norris doesn't need garbage collection because he doesn't call .Dispose(), he calls .DropKick()."
book,"Use the shampoo and conditioner and when your hair’s damp, not wet, okay? When it’s damp, you do four puffs of the Farrah Fawcett spray.",Liberty Prime,1993,Chuck Norris can solve the Towers of Hanoi in one move.
book,Eggos?,Harold,1961,Chuck Norris' addition operator doesn't commute; it teleports to where he needs it to be.
album,She will not be able to resist these pearls. *Purrs*,Madison Lee,1971,"Chuck Norris doesn't get compiler errors, the language changes itself to accommodate Chuck Norris."
book,"My God, is she Russian?",John Hancock,1926,Chuck Norris can write multi-threaded applications with a single thread.
album,I don’t want you to get hurt at all. And I don’t wanna lose you. Just make sure you heat up some real food. Not just Eggos.,Yes Man,1924,"Chuck Norris doesn't need the cloud to scale his applications, he uses his laptop."
album,You’re going to take out the demigorgon with a slingshot?,Old Longfellow,1964,Chuck Norris has root access to your system.
album,She will not be able to resist these pearls. *Purrs*,Piper Wright,1989,Anonymous methods and anonymous types are really all called Chuck Norris. They just don't like to boast.
book,Mornings are for coffee and contemplation.,Joshua Graham,2006,Chuck Norris can recite π. Backwards.
book,Eggos?,Paladin Danse,1965,"Chuck Norris doesn't delete files, he blows them away."
book,She will not be able to resist these pearls. *Purrs*,Piper Wright,2014,Chuck Norris's first program was kill -9.
album,Mornings are for coffee and contemplation.,Harold,1974,Chuck Norris can access private methods.
book,"Maybe I’m crazy, maybe I’m out of my mind! But God help me, I will keep these lights up until the day I die if I think there’s a chance that Will’s still out there!",Sulik,1952,Chuck Norris doesn't use web standards as the web will conform to him.
book,How do you know it’s not just a lizard?....Because his face opened up and he ate my cat!,Dogmeat,1991,Chuck Norris doesn't have performance bottlenecks. He just makes the universe wait its turn.
book,"I just didn’t want you to think I was such a wastoid, you know?",Piper Wright,2013,All browsers support the hex definitions #chuck and #norris for the colors black and blue.
book,"Maybe I’m crazy, maybe I’m out of my mind! But God help me, I will keep these lights up until the day I die if I think there’s a chance that Will’s still out there!",Porter Gage,1954,Chuck Norris doesn't use a computer because a computer does everything slower than Chuck Norris.
book,Eggos?,Strong,1933,Chuck Norris writes code that optimizes itself.
book,Mornings are for coffee and contemplation.,Nick Valentine,2002,Whiteboards are white because Chuck Norris scared them that way.
book,"Maybe I’m crazy, maybe I’m out of my mind! But God help me, I will keep these lights up until the day I die if I think there’s a chance that Will’s still out there!",Old Longfellow,1953,"When a bug sees Chuck Norris, it flees screaming in terror, and then immediately self-destructs to avoid being roundhouse-kicked."
book,How do you know it’s not just a lizard?....Because his face opened up and he ate my cat!,Sulik,1977,Chuck Norris doesn't use a computer because a computer does everything slower than Chuck Norris.
album,Mornings are for coffee and contemplation.,Preston Garvey,1944,Chuck Norris can unit test an entire application with a single assert.
book,"So, Jonathan, how was the pull-out?",Dogmeat,1981,Chuck Norris doesn't pair program.
book," Am I dreaming, or is that you, Harrington?",Cait,1983,Chuck Norris doesn't use a computer because a computer does everything slower than Chuck Norris.
album,I don’t want you to get hurt at all. And I don’t wanna lose you. Just make sure you heat up some real food. Not just Eggos.,Ada,1946,Chuck Norris can access private methods.
album,Eggos?,The Master,1947,Chuck Norris went out of an infinite loop.
